rsi,rsi_umbral,rsi_distancia,rsi_distancia_rel,volatilidad,tp_pct,sl_pct,tp_sl_ratio,vol_tp_interac,spread_tp_sl,log_precio,monto,es_btc,es_eth,hora,mes,es_ny_night,ganancia_neta,target
35.0,40.0,5.0,0.125,7.61,5.0,9.523973635462902,0.5249909535009943,38.050000000000004,10.000180933253738,8.394238807357363,5.0,0,1,1,8,1,0.02,1
29.9,30.0,0.10000000000000142,0.003333333333333381,3.02,2.42,5.313548005893742,0.4554395664282616,7.3084,5.442066592973904,11.608128184455445,5.0,1,0,6,8,0,-0.02,0
38.9,40.0,1.1000000000000014,0.027500000000000035,7.32,5.0,9.523689224323961,0.5250066315929083,36.6,9.99986736990093,8.417120890691743,5.0,0,1,22,8,1,0.01,1
36.0,40.0,4.0,0.1,6.76,5.0,9.523730148477505,0.5250043756016456,33.8,9.999912488732923,8.427452274437558,5.0,0,1,5,8,1,0.02,1
32.9,40.0,7.100000000000001,0.17750000000000005,6.87,5.0,9.524011926798536,0.5249888427723476,34.35,10.00022314953251,8.4076684618868,5.0,0,1,18,8,0,0.02,1
32.9,40.0,7.100000000000001,0.17750000000000005,5.34,4.27,8.891818129542228,0.48021674957715643,22.801799999999997,9.271648413483602,8.374760585993126,5.0,0,1,16,8,0,-0.03,0
34.3,40.0,5.700000000000003,0.14250000000000007,5.57,4.46,9.055342122558086,0.4925269459327809,24.842200000000002,9.45912946521133,8.375809334448421,5.0,0,1,19,8,0,-0.03,0
29.3,30.0,0.6999999999999993,0.02333333333333331,3.1,2.48,5.441857280172968,0.45572676244849514,7.688,5.576736349695575,11.584762009384047,5.0,1,0,1,8,1,0.04,1
39.2,40.0,0.7999999999999972,0.019999999999999928,5.41,4.33,8.938626188096798,0.48441448483057536,23.4253,9.325246921093179,8.37899492586101,5.0,0,1,19,8,0,0.02,1
27.3,30.0,2.6999999999999993,0.08999999999999998,2.92,2.34,5.137182120888051,0.45550263645227557,6.8328,5.257214315130648,11.594204300630357,5.0,1,0,14,8,0,0.02,1
36.0,40.0,4.0,0.1,5.62,4.5,9.089047080536105,0.4951014072351547,25.29,9.497863077578142,8.387501275700714,5.0,0,1,23,8,1,0.02,1
38.3,40.0,1.7000000000000028,0.04250000000000007,5.67,4.54,9.124313603215006,0.497571674695651,25.7418,9.53841487430451,8.393401640732684,5.0,0,1,1,9,1,0.05,1
24.0,40.0,16.0,0.4,5.03,4.02,8.671673237135991,0.46357835334299247,20.220599999999997,9.020296133091858,8.36277314197891,5.0,0,1,22,9,1,0.03,1
32.6,40.0,7.399999999999999,0.18499999999999997,5.05,4.04,8.68753522711322,0.4650340855472366,20.402,9.038359021902865,8.369736721948362,5.0,0,1,23,9,1,0.05,1
39.7,40.0,0.29999999999999716,0.007499999999999929,4.21,3.37,7.3329160550086865,0.45957160490036564,14.1877,7.579950334324001,8.3656095472651,5.0,0,1,18,9,0,0.01,1
39.5,40.0,0.5,0.0125,4.51,3.61,7.833168109669719,0.4608607844817738,16.2811,8.115702785918314,8.369416819121913,5.0,0,1,20,9,0,0.01,1
28.7,40.0,11.3,0.28250000000000003,4.58,3.66,7.951213405111924,0.4603071020137562,16.762800000000002,8.24248633879782,8.387539983189367,5.0,0,1,4,9,1,0.01,1
28.3,30.0,1.6999999999999993,0.05666666666666664,2.43,1.95,4.294890819985686,0.45402783952643033,4.7385,4.378468667882421,11.614155090236647,5.0,1,0,5,9,1,0.03,1
35.8,40.0,4.200000000000003,0.10500000000000007,4.32,3.45,7.5107446715200314,0.4593419362373007,14.904000000000002,7.770117758616377,8.391214916332286,5.0,0,1,10,9,0,0.07,1
35.4,40.0,4.600000000000001,0.11500000000000003,4.76,3.81,8.253503507430725,0.46162214586445777,18.1356,8.567784756953243,8.365651438710408,5.0,0,1,21,9,1,0.01,1
38.9,40.0,1.1000000000000014,0.027500000000000035,4.68,3.75,8.125008380674824,0.46153798547695074,17.549999999999997,8.4293994899142,8.369388996647842,5.0,0,1,22,9,1,0.01,1
25.2,30.0,4.800000000000001,0.16000000000000003,2.56,2.05,4.51534882679312,0.45400700557966545,5.247999999999999,4.607819549444945,11.61066895460074,5.0,1,0,16,9,0,0.02,1
37.6,40.0,2.3999999999999986,0.05999999999999996,3.41,2.73,5.973637826653377,0.4570079538165496,9.3093,6.136558868407703,8.370749072947618,5.0,0,1,5,9,1,0.04,1
28.4,30.0,1.6000000000000014,0.05333333333333338,2.08,1.66,3.680351891933309,0.4510438264445395,3.4528,3.7415529575139064,11.622050326579144,5.0,1,0,20,9,0,0.04,1
22.6,40.0,17.4,0.43499999999999994,3.38,2.7,5.920293298934065,0.45605848623853296,9.126,6.080284862275492,8.366935258342652,5.0,0,1,21,9,1,0.01,1
33.2,40.0,6.799999999999997,0.16999999999999993,3.38,2.7,5.920230875025368,0.4560632949958106,9.126,6.080211179548925,8.37068655464073,5.0,0,1,22,9,1,0.06,1
39.1,40.0,0.8999999999999986,0.022499999999999964,3.46,2.77,6.054434712426882,0.4575158758115773,9.5842,6.221851686320338,8.4454651542001,5.0,0,1,15,9,0,0.01,1
29.9,30.0,0.10000000000000142,0.003333333333333381,1.89,1.51,3.343957553505905,0.4515607557329401,2.8539,3.3944053847804803,11.654633425666358,5.0,1,0,15,9,0,0.01,1
25.2,40.0,14.8,0.37,3.73,2.98,6.514173127982659,0.4574640466951883,11.1154,6.708388767514601,8.410680901610036,5.0,0,1,16,9,0,0.01,1
23.6,40.0,16.4,0.41,3.84,3.07,6.699102842897487,0.45827031947343083,11.788799999999998,6.904677977524598,8.414209848044162,5.0,0,1,20,9,0,0.02,1
38.4,40.0,1.6000000000000014,0.040000000000000036,3.53,2.82,6.176755280533763,0.45655038477682897,9.9546,6.351110577927072,8.412112636565727,5.0,0,1,11,9,0,0.03,1
39.9,40.0,0.10000000000000142,0.0025000000000000356,3.47,2.78,6.076744266731449,0.45748181558663853,9.6466,6.245417449461029,8.40896857814376,5.0,0,1,16,9,0,0.03,1
26.5,30.0,3.5,0.11666666666666667,1.66,1.33,2.948517382923521,0.4510741594072867,2.2078,2.98766938960513,11.658341134000779,5.0,1,0,19,9,0,0.03,1
29.5,30.0,0.5,0.016666666666666666,1.72,1.38,3.0598673040232893,0.450999949633599,2.3735999999999997,3.102053430396255,11.66554354239074,5.0,1,0,9,9,0,-0.09,0
24.8,30.0,5.199999999999999,0.1733333333333333,1.63,1.3,2.896315785563708,0.4488460845601413,2.1189999999999998,2.9340848639819574,11.646349539336352,5.0,1,0,1,9,1,-0.03,0
18.0,40.0,22.0,0.55,3.48,2.78,6.088186513979954,0.45662201603325475,9.674399999999999,6.257504290654377,8.367734487036612,5.0,0,1,3,9,1,-0.02,0
22.2,30.0,7.800000000000001,0.26,1.97,1.57,3.485993960511591,0.450373700524023,3.0929,3.540853488854718,11.633378444263931,5.0,1,0,6,9,0,0.04,1
29.4,30.0,0.6000000000000014,0.02000000000000005,2.17,1.73,3.8322795658021325,0.4514284436443234,3.7540999999999998,3.898683318762252,11.599052609474848,5.0,1,0,23,9,1,0.02,1
35.8,40.0,4.200000000000003,0.10500000000000007,4.55,3.64,7.90375437978823,0.4605406272882595,16.562,8.191501592014442,8.294354593598984,5.0,0,1,2,9,1,-0.02,0
25.1,40.0,14.899999999999999,0.37249999999999994,5.0,4.0,8.650820123852476,0.4623839061190278,20.0,8.996734630264122,8.28856211111808,5.0,0,1,12,9,0,0.04,1
38.5,40.0,1.5,0.0375,4.13,3.3,7.193087303968227,0.4587738005320026,13.629,7.430643504317922,8.318261649416266,5.0,0,1,12,9,0,0.08,1
16.0,30.0,14.0,0.4666666666666667,2.12,1.7,3.7571351984699186,0.4524724052230858,3.604,3.820938754660875,11.633211764844722,5.0,1,0,9,9,0,0.02,1
